addressid,address1,address2,city,state_name,postalcode,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,City,state_id,county_name,Zip,Country,Source,county_fips,all_county_weights,imprecise,military,timezone,zcta,parent_zcta,population,density
1,47 MySakila Drive,,Lethbridge,,,0,0,0,,,,,,,,,,,,,,,,,,
2,28 MySQL Boulevard,,Woodridge,,,41.736788,-88.041731,0.33,place,,,Woodridge,IL,DuPage County,60517,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
3,23 Workhaven Lane,,Lethbridge,,,0,0,0,,,,,,,,,,,,,,,,,,
4,1411 Lillydale Drive,,Woodridge,,,41.736788,-88.041731,0.33,place,,,Woodridge,IL,DuPage County,60517,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
5,1913 Hanoi Way,,Sasebo,,35200,39.641185,-81.183444,0.17,place,,,Way,OH,Monroe County,45734,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
6,1121 Loja Avenue,,San Bernardino,,17886,41.01789,-76.870841,0.22,place,,,West Milton,PA,Union County,17886,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
7,692 Joliet Street,,Athenai,,83579,39.657355,-76.371332,0.23,place,,,Street,MD,Harford County,21154,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
8,1566 Inegl Manor,,Myingyan,,53561,43.364531,-89.66396,0.22,place,,,Merrimac,WI,Sauk County,53561,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
9,53 Idfu Parkway,,Nantou,,42399,38.338107,-90.969862,0.17,place,,,Parkway,MO,Franklin County,63077,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
10,1795 Santiago de Compostela Way,,Laredo,,18743,41.245915,-75.881308,0.06,place,,,Wilkes-Barre,PA,Luzerne County,18743,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
11,900 Santiago de Compostela Parkway,,Kragujevac,,93896,0,0,0,,,,,,,,,,,,,,,,,,
12,478 Joliet Way,,Hamilton,,77948,39.425137,-84.472925,0.23,place,,,Hamilton,OH,Butler County,45011,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
13,613 Korolev Drive,,Masqat,,45844,40.922538,-84.295652,0.22,place,,,Fort Jennings,OH,Putnam County,45844,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
14,1531 Sal Drive,,Esfahan,,53628,37.979232,-85.712459,0.17,place,,,Salt River,KY,Bullitt County,40165,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
15,1542 Tarlac Parkway,,Sagamihara,,1027,42.26676,-72.66898,0.22,place,,,Easthampton,MA,Hampshire County,1027,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
16,808 Bhopal Manor,,Yamuna Nagar,,10672,45.77135,-87.99485,0.23,place,,,Niagara,WI,Marinette County,54151,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
17,270 Amroha Parkway,,Osmaniye,,29610,34.849745,-82.453779,0.22,place,,,Greenville,SC,Greenville County,29610,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
18,770 Bydgoszcz Avenue,,Citrus Heights,,16266,38.689802,-121.26736,0.23,place,,,Citrus Heights,CA,Sacramento County,95610,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
19,419 Iligan Lane,,Bhopal,,72878,0,0,0,,,,,,,,,,,,,,,,,,
20,360 Toulouse Parkway,,Southend-on-Sea,,54308,44.459509,-87.805912,0.22,place,,,Green Bay,WI,Brown County,54308,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
21,270 Toulon Boulevard,,Elista,,81766,32.66367,-116.27363,0.23,place,,,Boulevard,CA,San Diego County,91905,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
22,320 Brest Avenue,,Kaduna,,43331,40.501851,-83.92023,0.22,place,,,Lakeview,OH,Logan County,43331,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
23,1417 Lancaster Avenue,,Kimberley,,72192,38.300217,-76.743445,0.23,place,,,Avenue,MD,St. Mary's County,20609,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
24,1688 Okara Way,,Mardan,,21954,39.641185,-81.183444,0.17,place,,,Way,OH,Monroe County,45734,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
25,262 A Corua (La Corua) Parkway,,Tangail,,34418,38.338107,-90.969862,0.17,place,,,Parkway,MO,Franklin County,63077,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
26,28 Charlotte Amalie Street,,Sal,,37551,39.657355,-76.371332,0.23,place,,,Street,MD,Harford County,21154,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
27,1780 Hino Boulevard,,Liepaja,,7716,40.40789,-74.03431,0.22,place,,,Atlantic Highlands,NJ,Monmouth County,7716,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
28,96 Tafuna Way,,Crdoba,,99865,39.641185,-81.183444,0.17,place,,,Way,OH,Monroe County,45734,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
29,934 San Felipe de Puerto Plata Street,,Shikarpur,,99780,63.32782,-143.03804,0.09,place,,,Tok,AK,Southeast Fairbanks Census Area,99780,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
30,18 Duisburg Boulevard,,Citt del Vaticano,,58327,48.091012,-98.573116,0.22,place,,,Crary,ND,Ramsey County,58327,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
31,217 Botshabelo Place,,Davao,,49521,42.96336,-85.668086,0.16,place,,,Grand Rapids,MI,Kent County,49521,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
32,1425 Shikarpur Manor,,Munger (Monghyr),,65599,43.529339,-83.762898,0.23,place,,,Munger,MI,Bay County,48747,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
33,786 Aurora Avenue,,Shimonoseki,,65750,38.300217,-76.743445,0.23,place,,,Avenue,MD,St. Mary's County,20609,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
34,1668 Anpolis Street,,Lungtan,,50199,39.657355,-76.371332,0.23,place,,,Street,MD,Harford County,21154,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
35,33 Gorontalo Way,,Kamarhati,,30348,33.844371,-84.47405,0.22,place,,,Atlanta,GA,Fulton County,30348,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
36,176 Mandaluyong Place,,Jhansi,,65213,38.689283,-120.054929,0.17,place,,,Plasse,CA,Amador County,95646,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
37,127 Purnea (Purnia) Manor,,Alessandria,,79388,37.865945,-81.267882,0.17,place,,,Maynor,WV,Raleigh County,25801,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
38,61 Tama Street,,Kurashiki,,94065,37.53256,-122.247806,0.22,place,,,Redwood City,CA,San Mateo County,94065,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
